epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,509.589,0,112.014,0,0,0,0,0,0,260.565,0,0.000364455,0.000364455,0.000364455
2,1034.16,0,88.4004,0,0,0,0,0,0,166.004,0,0.00072024,0.00072024,0.00072024
3,1518.44,0,72.1605,0,0,0,0,0,0,200.709,0,0.00106136,0.00106136,0.00106136
4,2002.29,0,55.6587,0,0,0,0,0,0,121.72,0,0.00104501,0.00104501,0.00104501
5,2488.94,0,40.5311,0,0,0,0,0,0,68.2786,0,0.00102301,0.00102301,0.00102301
6,2978.15,0,28.3685,0,0,0,0,0,0,50.453,0,0.00100101,0.00100101,0.00100101
7,3467.04,0,19.3077,0,0,0,0,0,0,29.6263,0,0.000979013,0.000979013,0.000979013
8,3949.64,0,12.8064,0,0,0,0,0,0,19.8652,0,0.000957015,0.000957015,0.000957015
9,4455.94,0,8.21454,0,0,0,0,0,0,12.2731,0,0.000935018,0.000935018,0.000935018
10,4944.3,0,5.15857,0,0,0,0,0,0,8.23605,0,0.00091302,0.00091302,0.00091302
11,5427.63,0,3.18898,0,0,0,0,0,0,4.97612,0,0.000891022,0.000891022,0.000891022
12,5918.97,0,1.94831,0,0,0,0,0,0,3.00314,0,0.000869024,0.000869024,0.000869024
13,6431.35,0,1.17332,0,0,0,0,0,0,1.83386,0,0.000847026,0.000847026,0.000847026
14,6921.78,0,0.75777,0,0,0,0,0,0,1.28168,0,0.000825029,0.000825029,0.000825029
15,7406.1,0,0.47493,0,0,0,0,0,0,0.3153,0,0.000803031,0.000803031,0.000803031
